Dataset,Execution_Time(ms),Correctness
nell-2,6.83766,PASS
delicious-3d,71.3161,PASS
flickr-3d,32.8826,PASS
matmul_5-5-5,0.406624,PASS
matmul_6-3-3,0.411648,PASS
nell-1,61.8799,PASS
vast-2015-mc1-3d,14.96,UNKNOWN
chicago-crime-comm_sib_3d,9.72067,PASS
enron_sib_3d,12.4576,PASS
flickr-4d_sib_3d,ERROR,FAIL
nips_sib_3d,13.5044,PASS
uber_sib_3d,0.746688,PASS
chicago-crime-geo_sib_3d,0.842784,PASS
vast-2015-mc1-5d_sib_3d,3.64685,PASS
darpa_sib,9.00973,PASS
freebase_music_sib,78.3185,PASS
freebase_sampled_sib,140.102,PASS
